ID,Medicine Name,Generic Name
761,METROGYL P PLUS OINTMENT 15GM,TRENEXAMIC ACID 500MG
762,MEVA SR ,TRENEXAMIC ACID 500MG+MEFENAMIC ACID 250MG
763,MEZOLAM VIAL (10 ML),TRENEXAMIC ACID 500MG/5ML
764,MEZOLAM VIAL (5 ML),TRIAMCINOLONE 40MG
765,MIBETA SR 40MG ,TRICHOLINE CITRATE 0.55GM/10ML+SORBITOL 7.15GM/10ML
766,MIBETA SR 80MG ,TRIMETAZIDINE 20MG
767,"MICROPORE (1/2"") INCH",TRIMETHOPRIME 160MG+SULPHAMETHOXAZOLE 800MG
768,"MICROPORE (2"") INCH",TROPICAMIDE 0.8%+PHENYLEPHRINE HYDROCHLORIDE 5%+CHLORBUTOL 0.5%
769,"MICROPORE (3"") INCH",TRYPSIN-CHYMOTRUPASIN
770,MICROSET    ,URSODEOCHOLOC ACID 300MG
771,MIKASTAR 100MG ,URSODEOXYCHOLIC 450MG
772,MOLINA SHEET 60X90,URSODEOXYCHOLIC ACID 300MG
773,MONOCEF 250MG,URSODEOXYCHOLIC ACID 450MG
774,molate Tab,URSODEOXYCHOLIC ACID 150MG+METFORMIN 500MG
775,MONOCRYL 3-0 NW1326,URSODEOXYCHOLIC ACID 600MG
776,MONOCRYL 4-0 1205 REV 1PIC,VALCYCLOVIR 1000MG
777,MONOPLUS 3 0  C0024135 P 9237,VANCOMYCIN 1GM
778,MONOPLUS 4 0  C0024134 P 9304,VANCOMYCIN 250MG
779,MONOSYN 4 0 ( C0023424 ),VANCOMYCIN HYDROCHLORIDE 500MG
780,MONTAIR LC,VASOPRESSIN 20UNITS
781,MOREASE I SACHET,VENLAFEXINE 37.5
782,MOREASE SR ,VENLAFIXIN 150MG
783,MOSART  OD MG ,VENLAFIXIN 75MG
784,MOSI EYE DROPS,VERAPAMIL 40MG
785,MOVICOL 13.81G POWDER,VILDAGLIPTIN 50MG
786,MOX 250MG,VILDAGLIPTIN 50MG+METFORMIN 500MG
787,MOX 500MG,VITAMIN A
788,MOXIF 400MG ,VITAMIN B-COMPLEX +B12
789,MOXIF 100ML ( 400MG ),VITAMIN B-COMPLEX +C+ZINC SULPHATE
790,MOZA MPS ,VITAMIN C 150MG+VITAMIN B12 2500MCG+FOLIC ACID 0.7MG+NIACINAMIDE 12MG
791,MUCAINE GEL MINT FLAVOUR,VITAMIN C 500MG
792,MUCINAC 600MG ,VITAMINE C 500MG
793,MYO PYROLATE  5ML,ZOLPIDEM 5MG
794,MYONIT 25MG 5ML,
795,MYONIT 50MG 10ML,NICOUMALONE 1MG
796,MYORELEX 100MG,demo generic
797,MYOSTIGMIN 0.5MG 1ML,HYDROXYCHLOROQUINE-200MG
798,MYOSTIGMIN 2.5MG 5ML,jhdfdk
799,NAPROSYN 250MG,TRIFLUOPERAZINE & TRIHEXYPHENIDYL
800,NAPROSYN 500MG,TRIHEXYPHENIDYL
801,NAPROSYN SR 750MG,VALGANCICLOVIR HYDROCHLORIDE-450MG
802,NASAL CANNULA (A),PRUCALOPRIDE
803,NASAL CANNULA (P) ROMSON,INDAPAMIDE 
804,NASO BILIARY CATHETER 10 F-250CM (PIGTAIL),GLIMEPRIDE 2MG+PIOGLITAZONE15MG
805,NASO BILIARY CATHETER 7F-250CM (PIGTAIL),PYRIDOXINE HYDROCHLORIDE+ NICOTINAMIDE+  FOLIC ACID+ CYANOCOBALAMIN+ CHROMIUM PICOLINATE+ ELEMENT SELENIUM+ ZINC  SULPHATE
806,NASOPHARYNGEAL AIRWAYS 28 (TYCO),METAPROLOL SUCCINATE EXTENDED RELEASE
807,NASOPHARYNGEAL AIRWAYS 32 (RUSCH),INSULINE GLARGINE INJECTION
808,NASOPHARYNGEAL AIRWAYS 34 (TYCO),ENTECAVIR 1.0
809,NASOPHARYNGEAL AIRWAYS 34(RUSCH),GLICLAZIDE 
810,NASOPHARYNGEAL AIRWAYS 36(RUSCH),NIFEDIPINE +  ATENOLOL
811,NASOPHARYNGEAL AIRWAYS 6.5 (ROMSON),"Monocomponent Human Insulin, Biosynthetic (r-DNA Origin)"
812,NASOPHARYNGEAL AIRWAYS 7(ROMSON),AMITRIPTYLINE HYDROCHLORIDE
813,NASOPHARYNGEAL AIRWAYS 7.5 (ROMSON),LINAGLIPTIN 2.5MG + METFORMIN500MG
814,NASOPHARYNGEAL AIRWAYS 8 (ROMSON),CALCIUM DOBESILATE(0.25%)+LIGNOCAINE(3%)+HYDROCORTISONE(0.25%)+ZINC
815,NASOPHARYNGEAL AIRWAYS 8.5 (ROMSON),OSELTAMIVIR PHOSPHATE
816,NATUROLAX POWDER 100GM,CILNIDIPINE 
817,NATUROLAX POWDER 300GM,GEFITINIB
818,NEBASULF POWDER 10G,SILODOSIN
819,NEBICARD  5 MG ,CARBOXYMETHYAMINO
820,NEBULIZER KIT ADULT,
821,NEBULIZER KIT WITH MASK CHILD 1SET,
822,NEBULIZER T-PIECE KIT ADULT,
823,NEEDLE 18 1.5 (DISPOVAN),
824,NEEDLE 18 DISPOVAN,
825,NEEDLE 20 1 1/2,
826,NEEDLE 22,
827,NEEDLE 22 1 1/2,
828,NEEDLE 23,
829,NEEDLE 23 1.5 (DISPOVAN),
830,NEEDLE 24,
831,NEEDLE 24 1.5 (DISPOVAN),
832,NEEDLE 26 1.5 (DISPOVAN),
833,NEGATIVE PRESSURE BALL,
834,NEKSIUM 40MG,
835,NEKSIUM 40MG,
836,NEMIDERM ABS 10CMX20CM,
837,NEMIDERM ABS 10CMX25CM,
838,NEMIDERM ABS 5CMX7CM,
839,NEMISORB 9X11 CM PAD,
840,NEOFLON 24G. 1PIC,
841,NEOMOL 170 MG SUPPO,
842,LOOZ 450ML,SODIUM ALGINATE +SODIUM BICARBONATE +CALCIUM CARBONATE 
843,LOOZ 150ML,SIMETHICONE 80MG+CHARCOL 250MG
844,LOPAMIDE,SODIUM BICARBONATE 
845,LOPEZ 2ML,SODIUM BICARBONATE +SODIUM CITRATE+CITRIC ACID+TARTIC ACID
846,LOSAR 25MG,SODIUM BICARBONATE 500MG
847,LOSAR 50MG,SODIUM BICARBONATE 7.5%
848,LOSAR A ,SODIUM BICARBONATE 8.4%/1ML
849,LOSAR H ,SODIUM BICRABONATE 7.5%1ML
850,LOTEPRED EYE DROPS,SODIUM CARBOXYMETHYL-CELLULOSE 5MG
851,LOX 10 % SPRAY,SODIUM CHLORIDE 0.3GM
852,LOX 2 % ADRENALIN ,SODIUM CHLORIDE 0.45GM/100ML
853,LOX 2% JELLY,SODIUM CHLORIDE 0.9GM
854,LOX 4% TOPICAL ,SODIUM CHLORIDE 2.60GM+POTASIUM CHLORIDE 1.5GM+ SODIUM CITRATE 2.90GM+DEXTROSE 13.50GM
855,LOX HEAVY 5% ,SODIUM CHLRIODE 0.9GM
856,LOXICARD 2% ,SODIUM PICOSUPHATE 10MG
857,LOXICARD 2% VIAL 50ML,SODIUM SULFATE 17.5GM+POTASSIUM SULPHATE3.13GM+MAGNESIUM SULPHATE 1.6GM
858,LTK 50 MG,SODIUM VALPORATE 200MG
859,LTK H ,SODIUM VALPORATE 300MG
860,LUBOWEL 24MCG,SODIUM VALPORATE 500MG
861,LUMERAX 80MG,SODIUM VALPROATE
862,MAGNESIUM  SULPHATE  2ML,SOMATOSTATIN 250MCG
863,MAGNESIUM SULPHATE POWDER 20G,SOMATOSTATIN 3MG
864,MAGNEX FORTE 1.5GM,SPARFLOXAXIN 200MG
865,MAGNEX FORTE 3GM,SPIRONOLACTONE 100MG
866,MAGNOVA 1G+125MG,SPIRONOLACTONE 25MG
867,MALE EXTERNAL CATH (URIDRIP) EX.LAR,SPIRONOLACTONE 50MG
868,MALE EXTERNAL CATH (URIDRIP) LARGE,STREPTOMYCIN 0.75GM
869,MALE EXTERNAL CATH (URIDRIP) MEDIUM,STREPTOMYCIN 1GM
870,MALE EXTERNAL CATH (URIDRIP) SMALL,SUCCINYLCHOLINE CHLORIDE 100MG
871,MALECOT CATHETER  16F 30CM,SUCRALATE 500MG/5ML
872,MEDROL 4MG,TELMISARTAN 
873,MEFTAL SPAS,TELMISARTAN +AMLODIPINE 
874,MEGANEURON,TELMISARTAN +HYDROCHLORATHIZIDE
875,MEGANEURON OD PLUS,TELMISARTAN 20MG
876,MERO 1GM,TELMISARTAN 40MG
877,MERONEM 500MG,TELMISARTAN 40MG+HYDROCHLORIDE 12.5MG
878,MERSILK 1 NW5062,TELMISARTAN+AMLODIPEN 
879,MERSILK 1-0 NW5332,TENEGLIPTIN 20MG
880,MERSILK 2-0 NW5331,TERBUTALINE SULPHATE 1.5MG+AMBROXOL HCL15MG+GUAIPHENSIN 50MG
881,MERSILK 3-0 NW5085,TERBUTALINE SULPHATE1.25MG+BROMHEXINE HCL 4MG+GUAIPHENSIN 50MG+MENTHOL 2.5MG
882,MERSILK 4-0 NW5050,TERLIPRESSIN 1MG/10ML
883,MESACOL 800MG,TETANUS TOXOID 0.5ML
884,MESACOL ENEMA 1PACK,THEOPHYLINE 400MG
885,MESACOL OD,THIOCHOLCHICOSIDE 4MG
886,MESACOL,THYROXIN 25MCG
887,MESH OMYRO 15X15,THYROXINE
888,MESH OPTILENE B/B 10X15 CM,THYROXINE 100MCG
889,MESH OPTILENE B/B 15X15 CM,THYROXINE 12.5MCG
890,MESACOL SUPPOSITORY,THIOPENTONE 500MG
891,MESH OPTILENE B/B 15X15 LP,THYROXINE 125MG
892,MESH PHYSIO 10CMX15CM (J&J),THYROXINE 25MG
893,MESH PHYSIO 15CMX15CM (J&J),THYROXINE 50MCG
894,MESH PHYSIO 20CMX15CM (J&J),THYROXINE 50MG
895,MESH PRO VISC 160 10X10CM (LOTUS)LDM 100,THYROXINE 75MCG
896,MESH PRO VISC 160 10X15CM (LOTUS),THYROXINE 75MG
897,MESH PRO VISC 160 10X20CM (LOTUS)LDM 200,THYROXINE SODIUM 100MCG
898,MESH PRO VISC 160 15X15 LH3D 225,TIBOLONE
899,MESH PRO VISC 160 20X20CM (LOTUS) LDM 400,TICOPLANIN 400MG
900,MESH PRO VISC 160 30X30CM (LOTUS),TIGECYCLIN 50MG
901,MESH PRO VISC 20X15CM LDM 300,TIMOLOL 0.5%
902,MESH PROLENE 15X15CM,TINIDAZOLE 300MG
903,MESH PROLENE 30X30CM,TINIDAZOLE 500MG
904,MESH PROLENE SOFT 15X15 (J&J),TINISAZOLE 200MG/100ML
905,MESH PROLENE SOFT 3''X6'' (J&J),TIROFIBAN HYDROCHLORIDE 5MG/100ML
906,MESH PROLITE ULTRA 10X15CM (ATRIUM),TOBRAMYCIN 
907,MESH PROLITE ULTRA 3X6CM(ATRIUM),TOBRAMYCIN 3MG/1ML
908,MESH PROLUS 10CMX15CM (LOTUS),TOBRAMYCIN 3MG/1ML+DEXAMETHASONE 1MG/1ML
909,MESH PROLUS 15X15 (LOTUS) LM 225,TOLVAPTAN 15MG
910,MESH PROLUS 15X30 (LOTUS) LM 450,TOPIRAMATE 
911,MESH PROLUS 30X30 (LOTUS),TORESMIDE 10MG+SPIRONOLACTONE 50MG
912,MESH PROLUS 3CMX6CM (LOTUS)LM 114 LIGHT,TORSEMIDE +SPIRONOLACTONE 
913,MESH ULTRAPRO 10X15 CM,TORSEMIDE 100MG
914,MESH ULTRAPRO 6X11CM,TORSEMIDE 10MG/1ML
915,MESLO  1200 MG,TORSEMIDE 20MG
916,MET XL  12.5 MG,TORSEMIDE 20MG+SPIRONOLACTONE 
917,MET XL  50 MG ,TORSEMIDE 40MG
918,META GLUTA ZS SACHETS,TORSEMIDE 5MG
919,METACIN  60ML,TRACE ELEMENTS
920,METACIN TABS,TRAMADOL
921,MUCOLITE 100ML,VITAMINS+MINERALS
922,MUCOLITE ,VOGLIBOSE 0.2
923,MUCOMIX 1G / 5ML,VOGLIBOSE 0.3
924,MUCOMIX 400MG,VOGLIBOSE 0.3MG
925,MUCUS EXTRACTOR,WARFARIN 1MG
926,MULTICATH 3 EXPET 8155.167,WARFARIN 3MG
927,MULTICATH TRIPLE LUMEN 15CM,WARFARIN 5MG
928,MYCOBUTOL 1000MG,WARFARIN SODIUM 4MG
929,LAMINO HP SACHET,RANITIDIN 300MG
930,LANOXIN 0.25,RANITIDINE 150MG
931,LANTUS (SOLOSTAR) 1'PEN,RANITIDINE 300MG
932,LARIAGO DS,RANOLAZINE 500MG
933,LASILACTONE 50MG,RIFAMPICIN 120MG+ISONIAZID 80MG+PYRAZINAMIDE 250MG
934,LASIX 2ML,RIFAMPICIN 300MG
935,LARIAGO TAB.,RIBOFLAVIN 10MG+FOLIC ACID 1.5MG+NIACINAMIDE  100MG+LACTIC ACID 60MILION
936,LAXHER POWDER 100GM,RIFAMPICIN 450MG+ISONIAZID 300MG
937,LAXIVE POWDER 100GM,RIFAMPICIN 450MG+ISONIAZID 300MG+PYRIDOXINE 10MG
938,LASIX TAB  15',RIFAMPICIN 450MG
939,LAXMI BRAND SAT-ISABGOL 200G,RIFAMPICIN 600MG
940,LEADER CATHETOR 2 REF 81266.17,RIFAXIMIN 200MG
941,LEG BAG   ROMSON 1PIC,RIFAXIMIN 400MG
942,LESURIDE 2 ML,RIFAXIMIN 550MG
943,LESURIDE OD 75MG,RIFAXIMINE 200MG
944,LEUCOVORIN CALCIUM INJ.(50MG) 5ML,RIFAXIMINE 550MG
945,LEUKOPLAST 10 CM * 5 MT 1,RINGER LACTATE
946,LEUKOPLAST 2.5 CM X 1MT 1PIC,RISPERIDONE 2MG
947,LEUKOMED T PLUS,RIFAXMIN 400MG
948,LEUKOPLAST 5 CM X 5 M 1PIC,ROCURONIUM BROMIDE 10MG
949,LEUKOPLAST 7.5 CM X 5 MT 1PIC,ROPIVACIANE HCL 2MG/1ML
950,LEVEMIR FLEXPEN 3ML,ROSUVASTAIN 20MG
951,LEVIPIL 500MG,ROSUVASTAIN MG
952,LEVIPIL 500MG,ROSUVASTATIN
953,LEVOFLOX 250 MG,ROSUVASTATIN 10MG+FENOBARBITONE 160MG
954,LEVOFLOX 500 MG,ROSUVASTATIN 10MG+FENOFIBRATE 160MG
955,LEVOFLOX 750 MG,ROSUVASTATIN 20MG
956,LEVOFLOX 100ML,ROSUVASTATIN 40MG
957,LEVOLIN 0.63MG RESPULES,ROSUVASTATIN 5MG
958,LIBOTRYP,S-ADENOSYL METHIONINE 400MG
959,LIFEBUOY SOAP,S-PANTOPRZOLE 20MG+DOMPERIDONDE 30MG
960,LIGACLIP LT 100 SMALL 1PIC,SACCHAROMYCES BOULARDIL 250MG
961,LIGACLIP LT 200 MEDIUM 1PIC,SACCHOROMYCES
962,LIGACLIP LT 400 LARGE 1PIC,SALBUTAMOL 100MCG
963,LIMCEE 500MG (ORANGE),SALBUTAMOL 2.5MG
964,LINID  300 ML,SALNUTAMOL
965,LINID  600MG,SATRANIDAZOLE 300MG
966,LIOFEN 10MG,SAXAGLIPTIN 5MG
967,LIOFEN 25MG,SERRATIOPEPTIDASE 10MG
968,LIPIDEM 250ML,SERRATIOPEPTIDASE 5MG
969,LISTRIL  5 MG,SERTRALINE 100MG
970,LISTRIL 10 MG,SERTRALINE 25MG
971,LIVOGEN,SEVOFLURANE 
972,LOBET ,SILDENAFIL
973,MALECOT CATHETER  18F 30CM,SUCRALFATE +OXETACIANE 
974,MALECOT CATHETER (RUBBER),SUCRALFATE 1GM+OXETACINE10MG
975,MALECOT CATHETER 10F,SUCRALFATE 1GM/5ML
976,MALECOT CATHETER 12F 30CM,SUCRALFATE 1GM/5ML+OXETACAINE 10MG/5ML
977,MALIRID ,SUCRALFATE 7%+METRONIDAZOLE 1%+LIGNOCAIENE HCL 4%
978,MANNITOL 20% 100ML (G),SULFASALZIN 1GM
979,MANNITOL 20% 350ML (G),SULFASALZIN 500MG
980,MARZON DUO,SULTAMICILIN 375MG
981,MASHYNE SACHET 1GM,SULTAMICILLIN  375MG
982,MBSON SL,SULTAMICILLIN 750MG
983,MEB SR,TAMOXIFEN 20MG
984,MEBASPA,TAMSULOSIN 
985,MEBEX SUSP 30ML,TAMSULOSIN 0.2MG
986,MEBEX ,TAMSULOSIN 0.4MG
987,MEBIZ SR 200MG,TAMSULOSIN 0.4MG+DUTASTERIDE 0.5MG
988,MEDICA GAUZE SWAB 10X10 CM,TAMSULOSIN 0.4MG+FINASTERIDE 5MG
989,MEDICA GAUZE SWAB 7.5/7.5,TAMSULOSIN 0.4MG+FINESTERIDE 5MG
990,MEDICA MEDIPAD 10CMX20CM,TAMSULOSIN HCL 400MCG
991,MEDROL 16MG,TELMIKIND 40MG
992,IMUNOCIN,PREDNISOLONE 20MG
993,INDERAL 10MG,PREDNISOLONE 30MG
994,INDOCAP SR,PREGABALIN 50MG
995,INFANT FEEDING TUBE 10G 1PIC,PREGABALIN 75MG
996,INFANT FEEDING TUBE 5G 1PIC,PRIMAQUINE PHOSPHATE 15MG
997,INFANT FEEDING TUBE 6G 1PIC,PRIMAQUINE PHOSPHATE 7.5MG
998,INFANT FEEDING TUBE 7G 1PIC,PROCHLOPERAZINE 5MG
999,INFANT FEEDING TUBE 8G 1PIC,PROCHLOPRAZINE 5MG
1000,INFANT FEEDING TUBE 9G 1PIC,PROMETHAZINE 25MG+THEOCLATE 10MG
1001,INSULIN SYRINGE 100IU,PROMETHAZINE HCL25MG/1ML
1002,INSULIN SYRINGE 40IU,PROPOFOL 1%
1003,INTRALIPID 20% 250ML,PROPRANOLOL
1004,IOTIM 0.5% EYE DROPS,PROPRANOLOL 10MG
1005,IPRAVENT RESPULES,PROPRANOLOL 40MG
1006,ISOFLURANE 30ML LIQ,PROPRANOLOL HCL 40MG
1007,ISOLIN 2MG/1ML 1ML,PROPRANOLOL HCL LONG ACTING 20MG
1008,ITZA 50MG,PROTAMINE SULPHATE 10MG/1ML
1009,IVABRAD 5 MG,PYRAZINAMIDE 500MG
1010,ITACT 300INJ,PROPRANOLOL HCL LONG ACTING 40MG
1011,IVORY TUBE 6,PYRAZINAMIDE 750MG
1012,IVORY TUBE 6.5,PYRAZINIMIDE 500MG
1013,IVORY TUBE 7,PYRIDOSTIGMIN 60MG
1014,JELONET 10*10CM (20'TIN) 1BOX,PYRIDOXINE 100MG
1015,JELONET 10*30CM (1) 1PIC,PYRIDOXINE HCL 40MG
1016,JONAC SUPPOSITORIES 100MG,QUTIPINE 25MG
1017,JUSTIN 12.5 SUPPO,RABBEPRAZOL 20MG+ITOPRIDE 150MG
1018,GAMMEX GLOVES 8.5,OFLOXACIN+ORNIDAZOLE
1019,GANATON,OLANAZEPINE 2.5MG
1020,GANATON TOTAL,OLANZAPINE 5MG
1021,GASTROLENE PLUS 14,OLMESARTAN +AMLODIPIN
1022,GAUZE CLOTH 16*90,OLMESARTAN 20MG
1023,GASOFILM,OLMESARTAN 
1024,GAUZE RIBBON 2.5 CM,OLMESARTAN 40MG
1025,GASTROLENE PLUS 16,OLMESARTAN 10MG
1026,GELOFUSINE 500ML ,OLMESARTAN+HYDROCHLORITHIZIDE
1027,GENEVAC B 1 ML 1VIAL,OMEPRAZOLE
1028,GERBISA  SUPPOSITORY ( ADULT),OMEPRAZOLE +DOMPERIDON
1029,GERBISA,OMEPRAZOLE 20MG
1030,GIA 100 3.8MM BLUE,OMEPRAZOLE 20MG+DOMPERIDONE 15MG
1031,GIA 60-3.8MM BLUE,OMEPRAZOLE 20MG+DOMPERIDONE 30MG
1032,GIA 80 (3.8MM) BLUE,OMEPRAZOLE 40MG
1033,GIA 80 4.8MM GREEN,OMEPRAZOLE MAGNESIUM 20MG+DOMPERIDONE 10MG
1034,GILLETTE PRESTO,ONDANSETRON  2MG/1ML
1035,HAPPI XT,PARAFIN 3.75/15ML+MILK OF MAGNESIA 11.25/15ML
1036,HEM O LOK CLIP (L) VIOLET,PARAFIN 3.75ML/15ML+MILK OF MAGNESIA 11.25ML/15ML
1037,HEMORRHOID STAPLER 33-3.5,PARAZOCIN 2.5MG
1038,HEMORRHOID STAPLER 33-4.8,PARAZOCIN 2MG
1039,HEPA MERZ CON. 10ML,PENTAZOCINE 30MG
1040,HEPEXA M,PERINDROPRIL 4MG
1041,HEPA MERZ GRAN. 5GM,PEGFILGRASTIM 6MG
1042,HEPTIDIN 4 MG,PERNDROPIL 4MG+AMLODIPINE 5MG
1043,HEPTRAL 400MG,PHENIRAMINE 22.75MG/ML
1044,HETRAZEN 100MG,PHENIRAMINE 25MG
1045,HIBPRO VAC,PHENIRAMINE 50MG
1046,HIFEN 200MG DT,PHENYLEPHRINE HCL10MG+CHLORPHENIRAMINE 4MG+CAFFEINE 500MG
1047,HIFENAC SR,PHENYTOIN
1048,HIMALAYA LIP CARE,PHENYTOIN 100MG
1049,HIV KIT 1PIC,PHENYTOIN 50MG/1ML
1050,HME FILTER 1PIC,PHYTOMENADION 1MG/05ML
1051,HOLLISTER BAG  70 MM,PHYTOMENADIONE 10MG
1052,HOLLISTER BAG 28400 ( 15MM-55MM ),PIOGLIATZONE 15MG
1053,HOLLISTER BAG 28401 ( 15MM-65MM ),PIOGLITAZOLNE 
1054,HOLLISTER BELT,PIPERACILLIN 4000MG+TAZOBACTAM 500MG
1055,HOLLISTER WAFF 55,PIPRACILLIN 2GM+TAZOBACTAM 250MG
1056,HOLLISTER WAFF 70,PIPRACILLIN 4GM+TAZOBACTAM 500MG
1057,HOMOCHEK,PIRFENIDONE 200MG
1058,HP KIT 1*6 1KIT,PIROXICAM
1059,HUGGIES CARE DIAPERS (LARGE) 5'PIE,PIROXICAM 20MG
1060,HUGGIES CARE DIAPERS (MEDIUM) 5'PIE,PNACREATIN
1061,HUGGIES CARE DIAPERS (SMALL) 5'PIE,PNEUMOCOCCAL POLYSACCHRIDE 0.5ML/25MG
1062,HYDROGEN PEROXIDE SOLUTION 400ML,POLYETHYLENE GLYCOL 3350
1063,HYOCIMAX 1ML,POLYTHYLENE GLYCOL+SODIUM CHLORIDE+SODIUM BICARBONATE+POTASSIUM CHLORIDE
1064,HYOCIMAX PLUS,POTASSIUM CHLORIDE 1.5MG/15ML
1065,HUMALOG PEN INJ. 1'PEN,POLIDOCANOL 60MG/2ML
1066,HUMAN ACTRAPID INJ.(40IU/ML) 10ML,POLYETHYLEN GLYCOL 118.0GM+SODIUM CHLORIDE 2.93GM+POTASIUM CHLORIDE 1.484GM+SODIUM BICARBONATE 3.370GM+ANHYDROUS SODIUM SLPHATE 11360.GM
1067,HUMAN MIXTARD INJ.(40IU/ML) 10ML,POLYETHYLENE GLYCOL 118.0G+SODIUMCHLORIDE 2.93GM+SODIUM BICARBONATE 3.370GM+ANHYDROUS SODIUM SULPHATE 11.360
1068,HYPOTAB ,POVIDONE -IODINE
1069,I BORIC EYE DROPS 10ML,POVIDONE -IODINE 10% SOLUTION
1070,I COLON POWDER 139.15GM,POVIDONE -IODINE 5%
1071,I GEL NO 3,POVIDONE -IODINE 5% SOLUTION
1072,I GEL NO 4,POVIDONE IODINE 10%
1073,I V SET PLOYMED,POVIDONE IODINE 5%
1074,IBUGESIC PLUS SYP 60ML,PRACETAMOL 
1075,IDENTI LOOPS MAXI BLUE,PRE BIOTIC & PROBIOTIC
1076,IDENTI LOOPS MAXI RED,PREBIOTIC+PROBIOTIC
1077,IDENTI LOOPS MINI BLUE,PREDNISOLAN 10MG
1078,IDENTI LOOPS MINI RED,PREDNISOLAN 20MG
1079,IBUGESIC PLUS LIQ ML,PR0PRANOLOL HCL 40MG
1080,IMDUR 30 MG,PREDNISOLAN 5MG
1081,IMIREN 500,PREDNISOLONE 10MG
1082,K 90 URETHRAL CATHETER,RABELOPRAZOLE 20MG
1083,K BIND POWDER 15GM,RABEPRAZOLE 
1084,KABIMMUNE SACHET,RABEPRAZOLE +DOMPERIDONE 
1085,KABIPRO SHAKE POWDER 400GM,RABEPRAZOLE 10MG
1086,KARMAN CANULA 7,RABEPRAZOLE 10MG+CLIDINIUMBROMAIDE 2.5MG+CHLORDIAZEPOXIDE 5MG
1087,KARMAN CANULA 8,RABEPRAZOLE 20MG
1088,KARVOL PLUS,RABEPRAZOLE 20MG +LEVOSULPRIDE 75MG
1089,KEFTRAGARD 1500MG,RABEPRAZOLE 20MG+DOMEPERIDONE 30MG
1090,KEMOCARB 150MG,RABEPRAZOLE 20MG+DOMPERIDONE 30MG
1091,KEMOPLAT 10MG,RABEPRAZOLE 20MG+ITOPRIDE 150MG
1092,KENACORT 40MG ,RABEPRAZOLE 20MG+LEVOSUPIRIDE 75MG
1093,KENADION 10MG ,RABEPRAZOLE 20MG+ZINC CARNOSINE 75MG
1094,KETOROL DT,RABEPRAZOLE 40MG
1095,KIDNEY TRAY PLASTICK,RABEPRAZOLE 40MG+LEVOSULPIRIDE 75MG
1096,KOFLET LOZENGES,RABEPRAZOLE+DOMPERIDONE 
1097,L DIO 1,RABIS VACCINE 
1098,L S BELT (MEDIUM),RACECADOTRIL 100MG
1099,L S BELT (SMALL),RACECADROTIL 100MG
1100,L S BELT (X-LARGE),RACECADTROL 100MG
1101,L S BELT (XX-LARGE),RAMIPRIL 2.5MG
1102,LACTAGARD 1500MG,RAMIPRIL 5MG
1103,LACTAGARD 3000MG ,RAMIPRIL 5MG+AMLODIPINE 5MG
1104,LACTIFIBER POWDER 180 GM,RAMIPRIL5MG
1105,ENTROLAC,MESALMIEN 500MG
1106,ENUFF,METFORMIN
1107,ENZOFLAM,METFORMIN 1GM
1108,EPSOLIN 100MG,METFORMIN 250MG
1109,ESAM 2.5MG,METFORMIN 50MG SR
1110,EPSOLIN INJECTION,METFORMIN 500MG
1111,ESAM AT,METFORMNI 1GM
1112,FLAVOSPAS,MULTIVITAMINS+LYSINE&ZINC
1113,FLUDAC 20MG,MUPIROCIN 2%
1114,FLURACIL 250MG 5ML,MUTIVITAMIN
1115,FLURACIL 500MG 10ML,MUTIVITAMIN+ZINC
1116,FLUTIVATE SKIN OINTMENT 20G,N-BUTYL CYANOACRYLATE
1117,FML LIQUIFILM EYE DROPS,NANDROLONE DECANOATE 50MG
1118,FML T EYE DROPS,NAPHAZOLINE HCL 0.1%+ BORIC ACID 1.0%+MENTHOL 0.0025%+CAMPHOR 0.0025%+HYDROXYPROPYL METHYLCELLULOSE0.2%+BORAX0.05%+BENZALKONIUM 0.05%
1119,FOGARTY  CATHETER 4F,NAPROXAN 250MG
1120,FOLE 100 MG,NAPROXAN 500MG
1121,FOLE 150 MG,NAPROXAN 750MG
1122,FOLEYS CATH 10(RUSCH),NATEGLINIDE 60MG
1123,FOLEYS CATH 12G 1PIC,NEBIVOLOL
1124,FOLEYS CATH 16G 1PIC,NEBIVOLOL 5MG
1125,FOLEYS CATH 18G 1PIC,NEBIVOLOL+AMLODIPINE 
1126,FOLEYS CATH 20G 1PIC,NEOMYCIN  5MG+BACITRACIN 250UNIT+SULPHACETAMIDE 60MG
1127,FOLEYS CATH 22G 1PIC,NEOSTIGMIN METHYLSULPHATE 0.5MG/1ML
1128,FOLEYS CATH 24G 1PIC,NETILMICIN SULPHATE 100MG/1ML
1129,FOLEYS CATH 3 WAY 20FR,NICOUMALONE 1MG
1130,FOLEYS CATH 3 WAYS 16G 1PIC,NICOUMALONE 2MG
1131,FOLEYS CATH 3 WAYS 18G 1PIC,NICOUMALONE 3MG
1132,FOLEYS CATH.3 WAYS 22G 1PIC,NIFEDIPINE 
1133,FOLEYS CATH.3 WAYS 24G 1PIC,NIFEDIPINE 0.3%+LIDOCAINE 1.5%
1134,FOLIRED,NIFEDIPINE SR 10MG
1135,WORMIN,
1136,FORANE LIQUID,NIFEDIPINE SR 30MG
1137,FORCAN 100ML,NIKORANDIL 10MG
1138,FORCAN 200MG,NIKORANDIL 48MG
1139,FORCEF CV 500MG,NIKORANDIL 5MG
1140,FORSON ,NIMESULIDE 100MG
1141,FORTUM 1G ,NIMESULIDE 100MG+PARACETAMOL 500MG
